SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE
HYGH,20240621,BUY,85.14,10000,0,Stock
HYGH,20240621,BUY,85.12,3700,0,Stock
HYGH,20240621,BUY,85.07857,700,0,Stock
JPST,20240621,BUY,50.45818,18000,0,Stock
JPST,20240621,BUY,50.44571,18000,0,Stock
SCC,20240621,SELL,29.79917,8061,0,Stock
SMH,20240621,SELL,265.0661,1000,0,Stock
SPMO,20240621,SELL,87.22841,5000,0,Stock
HYGH,20240624,BUY,85.18,10000,0,Stock
HYGH,20240624,BUY,85.15,10000,0,Stock
HYGH,20240624,BUY,85.12,10000,0,Stock
HYGH,20240624,BUY,85.1,400,0,Stock
JPST,20240624,BUY,50.46,2410,0,Stock
IDRV,20240627,SELL,28.8464,10000,0,Stock
HYGH,20240628,BUY,85.17,10000,0,Stock
HYGH,20240628,BUY,85.15,10000,0,Stock
JPST,20240702,SELL,50.2586,17000,0,Stock
JPST,20240702,SELL,50.2586,17000,0,Stock
JPST,20240702,SELL,50.2586,14410,0,Stock
SBIT,20240709,BUY,244.4273,1000,0,Stock
EWT,20240716,BUY,56.2397,2000,0,Stock
SBIT,20240716,SELL,187.9948,1000,0,Stock
SVIX,20240716,BUY,50.05829,2000,0,Stock
SVIX,20240717,SELL,47.49298,2000,0,Stock
AAPU,20240726,BUY,34.32991,10000,0,Stock
AMZU,20240726,BUY,32.35987,10000,0,Stock
GGLL,20240726,BUY,38.28,10000,0,Stock
GGLL,20240726,BUY,38.96,10000,0,Stock
HYGH,20240726,SELL,85.52762,2852,0,Stock
HYGH,20240726,SELL,85.51825,4600,0,Stock
HYGH,20240726,SELL,85.47895,1009,0,Stock
HYGH,20240726,SELL,84.194,15,0,Stock
IWM,20240726,BUY,222.4291,500,0,Stock
MSFU,20240726,BUY,43.6094,5000,0,Stock
MSFU,20240726,BUY,43.61498,5000,0,Stock
SOXL,20240726,BUY,41.74,10000,0,Stock
SOXL,20240726,BUY,42.109,10000,0,Stock
SPMO,20240726,BUY,84.87861,5000,0,Stock
SVIX,20240726,SELL,42.19883,5000,0,Stock
SVIX,20240726,BUY,42.53396,5000,0,Stock
SVIX,20240726,BUY,42.37,10000,0,Stock
XSMO,20240726,BUY,66.42597,5000,0,Stock
BITX,20240729,BUY,38.31806,10000,0,Stock
HYGH,20240729,SELL,85.28725,10000,0,Stock
HYGH,20240729,SELL,85.28311,10000,0,Stock
HYGH,20240731,SELL,85.25768,69,0,Stock
HYGH,20240731,SELL,85.50862,2522,0,Stock
HYGH,20240731,SELL,85.45762,1195,0,Stock
EWT,20240801,SELL,52.14885,2000,0,Stock
HYGH,20240801,SELL,85.02827,10000,0,Stock
SOXL,20240801,BUY,39.08,10000,0,Stock
SPMO,20240801,BUY,85.31896,5000,0,Stock
SVIX,20240801,BUY,41.05611,5000,0,Stock
TQQQ,20240801,BUY,32.93,20000,0,Stock
AAPU,20240802,BUY,34.8798,10000,0,Stock
AMZN,20240802,BUY,167.1795,4000,0,Stock
GGLL,20240802,BUY,38.81531,10000,0,Stock
IWM,20240802,SELL,207.5755,500,0,Stock
META,20240802,BUY,485.7972,1500,0,Stock
SOXL,20240802,SELL,29.71917,15000,0,Stock
SOXL,20240802,SELL,28.5892,15000,0,Stock
SVIX,20240802,SELL,32.82327,7000,0,Stock
TQQQ,20240802,SELL,28.68061,10000,0,Stock
XSMO,20240802,SELL,61.76123,5000,0,Stock
AAPU,20240805,SELL,31.16913,20000,0,Stock
AMZN,20240805,SELL,158.8301,4000,0,Stock
AMZU,20240805,SELL,24.62294,10000,0,Stock
BITX,20240805,SELL,22.56937,10000,0,Stock
GGLL,20240805,SELL,36.099,25000,0,Stock
GGLL,20240805,SELL,36.18216,4999,0,Stock
META,20240805,SELL,468.0816,1500,0,Stock
MSFU,20240805,SELL,37.99894,10001,0,Stock
SPMO,20240805,SELL,79.68538,10000,0,Stock
SVIX,20240805,BUY,26.15,15000,0,Stock
SVIX,20240805,BUY,23.27932,10000,0,Stock
SVIX,20240805,BUY,22.02,20000,0,Stock
SVIX,20240805,BUY,21.02,20000,0,Stock
SVIX,20240805,BUY,19.518,10000,0,Stock
TQQQ,20240805,SELL,26.59436,10000,0,Stock
GGLL,20240806,BUY,35.3288,10000,0,Stock
GGLL,20240806,BUY,35.3592,10000,0,Stock
GGLL,20240806,SELL,34.95812,20000,0,Stock
SVIX,20240806,BUY,23.55571,20000,0,Stock
SVIX,20240806,BUY,22.28556,20000,0,Stock
SVIX,20240806,SELL,23.1264,30000,0,Stock
SVIX,20240806,SELL,23.09937,20000,0,Stock
SVIX,20240806,SELL,23.07022,35000,0,Stock
SVIX,20240806,SELL,22.8305,18000,0,Stock
AMZN,20240807,BUY,165.4489,2000,0,Stock
AMZN,20240807,SELL,162.5063,2000,0,Stock
GGLL,20240807,SELL,15.82,1,0,Stock
META,20240807,BUY,496.1664,500,0,Stock
META,20240807,BUY,494.97,500,0,Stock
META,20240807,SELL,496.7616,500,0,Stock
META,20240807,SELL,490.7399,500,0,Stock
SVIX,20240807,SELL,22.46585,20000,0,Stock
TQQQ,20240807,BUY,28.51498,20000,0,Stock
TQQQ,20240807,SELL,28.00422,20000,0,Stock
SPMO,20240813,BUY,85.32,5000,0,Stock
SOXL,20240814,BUY,35.04,10000,0,Stock
SPMO,20240814,BUY,86.31,5000,0,Stock
SOXL,20240815,BUY,39.4,10000,0,Stock
SPMO,20240815,BUY,88.12996,10000,0,Stock
HYGH,20240819,SELL,85.02124,2861,0,Stock
HYGH,20240819,SELL,84.97987,7139,0,Stock
HYGH,20240819,SELL,84.93764,10000,0,Stock
SOXL,20240819,BUY,40.96,10000,0,Stock
SPMO,20240819,BUY,89.06,10000,0,Stock
GGLL,20240820,BUY,39.0967,10000,0,Stock
HYGH,20240820,SELL,85.12857,10000,0,Stock
HYGH,20240823,SELL,85.28881,10000,0,Stock
SPMO,20240823,BUY,90.01639,10000,0,Stock
GGLL,20240828,SELL,36.63908,10000,0,Stock
SOXL,20240828,SELL,36.89025,15000,0,Stock
SOXL,20240828,SELL,36.63898,5000,0,Stock
SPMO,20240905,BUY,86.14753,4650,0,Stock
HYGH,20241009,SELL,85.8632,5936,0,Stock
HYGH,20241009,SELL,85.8445,8000,0,Stock
SOXL,20241009,SELL,38.16894,10000,0,Stock
IBIT,20241111,BUY,48.19278,2759,0,Stock
IBIT,20241112,BUY,49.46407,2366,0,Stock
SPMO,20241112,SELL,96.71838,1218,0,Stock
IBIT,20241118,BUY,51.4393,3895,0,Stock
IBIT,20241120,BUY,53.52,10280,0,Stock
IBIT,20241202,BUY,54.57,2770,0,Stock
IBIT,20241209,BUY,55.52,2703,0,Stock
IBIT,20241227,BUY,54.78,1830,0,Stock
IBIT,20250108,BUY,52.9791,1860,0,Stock
SPMO,20250108,BUY,96.35,1041,0,Stock
SPMO,20250108,SELL,96.28788,2081,0,Stock
SPMO,20250108,SELL,96.42792,2076,0,Stock
SPMO,20250205,SELL,101.1184,5379,0,Stock
SPMO,20250221,SELL,101.7598,8587,0,Stock
IBIT,20250307,SELL,49.68888,11859,0,Stock
IBIT,20250307,SELL,49.62964,11859,0,Stock
IBIT,20250307,SELL,49.75861,3382,0,Stock
SPMO,20250307,SELL,92.8219,10385,0,Stock
SPMO,20250307,SELL,92.74658,10385,0,Stock
IBIT,20250311,SELL,47.16039,1363,0,Stock
SPMO,20250311,SELL,92.77892,5580,0,Stock
UGL,20250808,BUY,36.9699,4734,0,Stock
UGL,20250808,BUY,36.54659,744,0,Stock
UGL,20250813,BUY,35.3787,4244,0,Stock
UGL,20250815,BUY,34.84,7172,0,Stock
UGL,20250819,BUY,34.4497,3628,0,Stock
IBIT,20250822,BUY,66.2698,3772,0,Stock
SPMO,20250822,BUY,116.8698,8555,0,Stock
IBIT,20250916,SELL,65.5429,3772,0,Stock
SPMO,20250916,SELL,120.84,8000,0,Stock
SPMO,20250916,SELL,120.809,555,0,Stock
IAU,20250926,BUY,71.005,5637,0,Stock
IAU,20251003,BUY,73.0797,4927,0,Stock
IAU,20251010,BUY,75.135,3994,0,Stock
IAU,20251014,SELL,77.9202,6420,0,Stock
IAU,20251014,BUY,77.83694,350,0,Stock
IAU,20251014,BUY,77.8999,6420,0,Stock
UGL,20251014,BUY,52.69344,9502,0,Stock
UGL,20251015,BUY,54.1298,9242,0,Stock
UGL,20251017,BUY,55.2297,4520,0,Stock
UGL,20251017,BUY,55.1591,2000,0,Stock
UGL,20251017,BUY,55.4594,2500,0,Stock
IAU,20251021,BUY,77.5424,108,0,Stock
IAU,20251022,SELL,76.09093,8198,0,Stock
IAU,20251022,SELL,75.97,6818,0,Stock
UGL,20251022,SELL,50.26019,16095,0,Stock
UGL,20251022,SELL,49.80005,16000,0,Stock
UGL,20251022,SELL,49.79358,16191,0,Stock
IAU,20251111,BUY,77.5092,3872,0,Stock
IAU,20251112,BUY,77.985,3850,0,Stock
IAU,20251113,BUY,79.2596,3780,0,Stock
IBIT,20251201,BUY,47.98635,937,0,Stock
IBIT,20251202,SELL,50.3102,937,0,Stock
BITI,20251205,BUY,22.89974,13100,0,Stock
GDX,20251205,BUY,81.585,3674,0,Stock
UGL,20251205,BUY,53.5997,5603,0,Stock
IAU,20260109,BUY,84.8978,5899,0,Stock
NUGT,20260109,BUY,212.85,1178,0,Stock
UGL,20260109,BUY,60.22904,4150,0,Stock
AMZN,20260115,BUY,238.4173,523,0,Stock
ASAN,20260115,SELL,11.59115,7690,0,Stock
COPX,20260115,BUY,82.48,1515,0,Stock
CRM,20260115,SELL,231.8069,344,0,Stock
DOCU,20260115,SELL,60.351,1320,0,Stock
GOOGL,20260115,BUY,332.7364,752,0,Stock
HOOD,20260115,SELL,115.43,1080,0,Stock
HOOD,20260115,BUY,115.66,2160,0,Stock
KORU,20260115,SELL,270.2692,90,0,Stock
KORU,20260115,BUY,270.7534,461,0,Stock
NUGT,20260115,BUY,233.2023,536,0,Stock
SPXS,20260115,BUY,33.755,2962,0,Stock
UGL,20260115,BUY,63.2999,3948,0,Stock
YELP,20260115,SELL,28.7911,8650,0,Stock
EET,20260126,BUY,94.0195,2661,0,Stock
KORU,20260126,BUY,314.4806,796,0,Stock
GDX,20260128,SELL,109.1203,3674,0,Stock
NUGT,20260128,SELL,296.215,1714,0,Stock
UGL,20260128,SELL,82.4726,8000,0,Stock
UGL,20260128,SELL,82.4701,5701,0,Stock
ARKW,20260202,SELL,134.7913,888,0,Stock
ASAN,20260202,SELL,9.880684,4242,0,Stock
CRM,20260202,SELL,210.6808,223,0,Stock
DOCU,20260202,SELL,51.98967,960,0,Stock
DXJ,20260202,BUY,153.6505,976,0,Stock
EWS,20260202,BUY,28.2499,5315,0,Stock
IAU,20260202,SELL,88.63,8850,0,Stock
KORU,20260202,SELL,335.4957,583,0,Stock
MNDY,20260202,SELL,113.3498,527,0,Stock
PEGA,20260202,SELL,43.4804,1363,0,Stock
UAE,20260202,BUY,20.9698,7160,0,Stock
WDAY,20260202,SELL,173.3774,347,0,Stock
XHB,20260202,SELL,109.1405,1098,0,Stock
YELP,20260202,BUY,27.4198,6424,0,Stock
AMZN,20260203,BUY,238.1196,1049,0,Stock
ASAN,20260203,SELL,9.1401,27231,0,Stock
DOCU,20260203,SELL,46.1,5413,0,Stock
ETHD,20260203,BUY,73.249,2737,0,Stock
ETHD,20260203,BUY,73.4256,2052,0,Stock
GOOGL,20260203,BUY,340.4627,734,0,Stock
HOOD,20260203,SELL,86.1503,1080,0,Stock
SQQQ,20260203,BUY,68.3399,4391,0,Stock
TNA,20260203,BUY,53.8599,5578,0,Stock
BITI,20260204,SELL,26.57106,13100,0,Stock
BTCZ,20260204,BUY,5.58,62589,0,Stock
DXJ,20260204,BUY,160.4086,1558,0,Stock
EET,20260204,BUY,93.13227,2633,0,Stock
EFV,20260204,BUY,77.6598,3858,0,Stock
EWT,20260204,BUY,68.9,2902,0,Stock
EWW,20260204,BUY,78.21,2556,0,Stock
EWY,20260204,BUY,123.095,2438,0,Stock
EWZ,20260204,BUY,37.255,5365,0,Stock
EZA,20260204,BUY,73.66,2714,0,Stock
KORU,20260204,SELL,352.9258,584,0,Stock
SPXS,20260204,SELL,34.5601,2962,0,Stock
SQQQ,20260204,BUY,69.86,7160,0,Stock
SQQQ,20260204,BUY,70.8599,5420,0,Stock
XLB,20260204,BUY,51.67729,3869,0,Stock
XLU,20260204,BUY,43.157,4635,0,Stock
AMZN,20260205,SELL,224.94,1572,0,Stock
ARKW,20260205,SELL,119.5798,1670,0,Stock
BTCZ,20260205,BUY,6.47,39100,0,Stock
COPX,20260205,SELL,82.3054,1515,0,Stock
CRM,20260205,SELL,193.5981,1032,0,Stock
DDOG,20260205,SELL,111.5376,894,0,Stock
DUST,20260205,BUY,5.71,17460,0,Stock
ETHD,20260205,BUY,93.315,2667,0,Stock
GOOGL,20260205,SELL,312.36,1486,0,Stock
IAU,20260205,SELL,90.98035,5674,0,Stock
MNDY,20260205,SELL,98.67,2022,0,Stock
PEGA,20260205,SELL,38.52,5175,0,Stock
TEAM,20260205,SELL,104.3191,956,0,Stock
XLB,20260205,BUY,50.66018,986,0,Stock
XLI,20260205,BUY,168.575,1186,0,Stock
XLP,20260205,BUY,86.7199,5766,0,Stock
XLU,20260205,BUY,43.0499,1162,0,Stock
YELP,20260205,SELL,24.18,4129,0,Stock
ZSL,20260205,BUY,2.7097,37440,0,Stock
ZSL,20260205,BUY,2.6898,36890,0,Stock
ZSL,20260205,SELL,2.675,36890,0,Stock
ARKW,20260211,BUY,125.345,2558,0,Stock
BTCZ,20260211,SELL,6.035,50000,0,Stock
DUST,20260211,SELL,4.4403,17460,0,Stock
EFO,20260211,BUY,75.87,1000,0,Stock
ETHD,20260211,SELL,89.7107,3700,0,Stock
XHB,20260211,BUY,120.3,1098,0,Stock
ZSL,20260211,SELL,2.155,37440,0,Stock
DXJ,20260213,SELL,166.7417,1200,0,Stock
EWW,20260213,SELL,81.0002,2556,0,Stock
EWY,20260213,SELL,133.73,1000,0,Stock
EWZ,20260213,SELL,38.0302,5365,0,Stock
EZA,20260213,SELL,75.25,2714,0,Stock
IAU,20260213,BUY,94.7197,2000,0,Stock
TEAM,20260213,SELL,84.255,2000,0,Stock
TNA,20260213,SELL,53.7119,2000,0,Stock
DDOG,20260217,BUY,122.9924,894,0,Stock
DXJ,20260217,SELL,164.3289,900,0,Stock
EET,20260217,SELL,97.62292,4500,0,Stock
EWT,20260217,SELL,72.275,2500,0,Stock
EWY,20260217,SELL,131.35,1300,0,Stock
IAU,20260217,SELL,91.825,6000,0,Stock
PEGA,20260217,BUY,44.9198,6538,0,Stock
TNA,20260217,SELL,53.75,3578,0,Stock
YELP,20260217,SELL,20.56,6355,0,Stock
DXJ,20260219,SELL,165.7123,434,0,Stock
EET,20260219,SELL,98.02542,794,0,Stock
EFO,20260219,SELL,73.58,1000,0,Stock
EFV,20260219,SELL,78.3203,3858,0,Stock
ETHD,20260219,SELL,90.31177,3756,0,Stock
EWS,20260219,SELL,28.9,5315,0,Stock
UAE,20260219,SELL,21.67,3500,0,Stock
XLI,20260219,BUY,176.305,3000,0,Stock
XLI,20260219,BUY,176.3097,3000,0,Stock
XLP,20260219,SELL,87.5101,5766,0,Stock
IAU,20260223,BUY,98.14,5873,0,Stock
EEM,20260224,BUY,62.66812,10000,0,Stock
ASAN,20260224,SELL,6.98513,20000,0,Stock
MNDY,20260224,SELL,75.3,1500,0,Stock
CRM,20260224,SELL,185.4635,700,0,Stock
DOCU,20260224,SELL,42.7719,2500,0,Stock
TEAM,20260224,SELL,71.07,1500,0,Stock
YELP,20260224,SELL,19.76377,6000,0,Stock
EDC,20260224,BUY,79.65686,3500,0,Stock
KORU,20260224,BUY,554.73,500,0,Stock
XLU,20260224,SELL,47.2011,5797,0,Stock
XLB,20260224,SELL,53.4013,4855,0,Stock
XLI,20260224,SELL,177.155,1186,0,Stock
XLI,20260224,SELL,177.03,3000,0,Stock
XLI,20260224,SELL,177.0224,3000,0,Stock
UGL,20260226,BUY,77.1297,5000,0,Stock
ASAN,20260227,BUY,7.129111,59163,0,Stock
AGQ,20260227,BUY,193.3189,1000,0,Stock
AGQ,20260227,BUY,193.2298,1000,0,Stock
IAU,20260227,BUY,99.1299,4000,0,Stock
IAU,20260227,BUY,99.1199,4000,0,Stock
IAU,20260227,BUY,99.08497,4000,0,Stock
GDXU,20260227,BUY,467.6879,500,0,Stock
AGQ,20260227,BUY,188.3582,1000,0,Stock
COPX,20260227,BUY,96.18677,5000,0,Stock
SQQQ,20260302,SELL,70.5101,7000,0,Stock
SQQQ,20260302,SELL,70.415,7000,0,Stock
EDC,20260302,SELL,74.94,3500,0,Stock
KORU,20260302,SELL,588.185,500,0,Stock
DOCU,20260302,BUY,46.08238,10193,0,Stock
BTCZ,20260302,SELL,5.44,51689,0,Stock
CRM,20260302,BUY,192.83,2299,0,Stock
WDAY,20260302,BUY,134.3276,347,0,Stock
TEAM,20260302,BUY,74.35,4456,0,Stock
MNDY,20260302,BUY,71.43,4049,0,Stock
GDXU,20260303,SELL,347.3184,500,0,Stock
EWT,20260303,SELL,71.21214,402,0,Stock
UAE,20260303,SELL,19.6501,3660,0,Stock
EWY,20260303,SELL,132.3901,138,0,Stock
COPX,20260303,SELL,86.60274,5000,0,Stock
AGQ,20260303,SELL,147.9354,3000,0,Stock
UGL,20260304,SELL,75.2201,5000,0,Stock
SQQQ,20260304,SELL,69.4316,2971,0,Stock
YELP,20260304,BUY,23.78575,18710,0,Stock
EEM,20260304,SELL,59.1109,10000,0,Stock
SPDN,20260305,BUY,9.5898,15000,0,Stock
PSQ,20260305,BUY,30.8199,5000,0,Stock
EUM,20260305,BUY,19.17824,8000,0,Stock
RWM,20260305,BUY,15.85,10000,0,Stock
IAU,20260306,BUY,97.0197,5000,0,Stock
IAU,20260306,BUY,97.0698,5000,0,Stock
RWM,20260306,BUY,16.175,10000,0,Stock
