SYMB,ED,TRAN,ANUM,BNUM,CNUM,MEMO,CURRENCY
GIFN Cash,20260707,TXOUT,1,8000000,0,Internal transfer,NGN
GIFN Cash,20260707,TXOUT,1,5592328.77,0,Outflow,NGN
GIFN Cash,20260708,TXOUT,1,27951110.68,0,Outflow,NGN
GIFN Cash,20260709,TXOUT,1,4429610.45,0,Outflow,NGN
GIFN Cash,20260710,TXOUT,1,5665860.93,0,Outflow,NGN
GIFN Cash,20260710,TXIN,1,181466.83,0,Inflow,NGN
GIFN Cash,20260710,TXIN,1,150000000,0,PF part repayment-Ehi Okoyomon,NGN
GIFN Cash,20260714,TXOUT,1,33920161.25,0,Outflow,NGN
GIFN Cash,20260715,TXOUT,1,2515122.24,0,Outflow,NGN
GIFN Cash,20260716,TXOUT,1,10408.5,0,Dangcem repayment,NGN
GIFN Cash,20260720,TXOUT,1,81985893.32,0,Outflow,NGN
GIFN Cash,20260722,TXOUT,1,47444051.66,0,Outflow,NGN
GIFN Cash,20260723,TXIN,1,1124000000,0,Fx trade,NGN
GIFN Cash,20260723,TXIN,1,2940.08,0,SMA Dividend,NGN
GIFN Cash,20260723,TXOUT,1,29014053.75,0,Outflow,NGN
GIFN Cash,20260724,TXIN,1,1664000000,0,Fx trade,NGN
GIFN Cash,20260727,TXOUT,1,6046116.76,0,Outflow,NGN
GIFN Cash,20260728,TXOUT,1,3529657.69,0,Outflow,NGN
GIFN Cash,20260729,TXIN,1,257591.52,0,Client dividend,NGN
GIFN Cash,20260730,TXIN,1,4367500000,0,Fx trade,NGN
GIFN Cash,20260731,TXIN,1,1210500000,0,Fx trade,NGN
GIFN Cash,20260731,TXIN,1,19527.48,0,Client dividend,NGN
GIFN Cash,20260731,TXOUT,1,26000000,0,Internal transfer,NGN
GIFN Cash,20260731,TXOUT,1,49198953.48,0,Outflow,NGN
GIFN Cash,20260731,TXOUT,1,45000000,0,Internal transfer,NGN
GIFN Cash,20260731,TXIN,1,22255.4,0,Interest on call,NGN
GIFN Cash,20260803,TXOUT,1,1745745.83,0,Outflow,NGN
GIFN Cash,20260803,TXOUT,1,2000000,0,Internal transfer,NGN
GIFN Cash,20260805,TXOUT,1,98821053.75,0,PF-Interkel,NGN
GIFN Cash,20260806,TXOUT,1,6391232.88,0,Outflow,NGN
GIFN Cash,20260807,TXIN,1,697000000,0,Fx trade,NGN
GIFN Cash,20260807,TXOUT,1,2000000,0,Internal transfer,NGN
GIFN Cash,20260807,TXOUT,1,10249318.76,0,Outflow,NGN
GIFN Cash,20260809,TXOUT,1,50,0,Bank charges,NGN
GIFN Cash,20260810,TXOUT,1,8000000,0,Internal transfer,NGN
GIFN Cash,20260810,TXOUT,1,80000000,0,TRF to CREG,NGN
GIFN Cash,20260811,TXOUT,1,4993204.43,0,Outflow,NGN
GIFN Cash,20260812,TXIN,1,5047867100,0,Fx trade,NGN
GIFN Cash,20260813,TXIN,1,3849632900,0,Fx trade,NGN
GIFN Cash,20260813,TXOUT,1,8000000,0,Internal transfer,NGN
GIFN Cash,20260813,TXOUT,1,4000000,0,Internal transfer,NGN
GIFN Cash,20260814,TXOUT,1,3000000,0,Internal transfer,NGN
GIFN Cash,20260816,TXOUT,1,50,0,Bank charges,NGN
GIFN Cash,20260817,TXOUT,1,2515122.24,0,Outflow,NGN
GIFN Cash,20260817,TXOUT,1,3589137227,0,Unknown outflow,NGN
GIFN Cash,20260818,TXIN,1,3589137227,0,Reversal of unknown outflow,NGN
GIFN Cash,20260818,TXIN,1,229550.4,0,Client dividend,NGN
GIFN Cash,20260818,TXOUT,1,5919400.06,0,Outflow,NGN
GIFN Cash,20260819,TXIN,1,150000000,0,Fx trade,NGN
GIFN Cash,20260820,TXOUT,1,13163335.89,0,Outflow,NGN
GIFN Cash,20260824,TXOUT,1,37415882.47,0,Outflow,NGN
GIFN Cash,20260827,TXOUT,1,6000000,0,Internal transfer,NGN
