Direction,Name of Asset,Coupon Rate,Maturity Date,Trade Date,Settlement Date,Ytm,Price,Face Value,Consideration,Principal ,Accrued Interest
Buy,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-08-22,2025-08-26,0.10372755687739436,84.0,2000000,1692277.7777777778,1680000.0,12277.777777777777
Buy,NGERIA 7 5/8 11/28/47,0.07625,2047-11-28,2025-08-22,2025-08-26,0.0935841493142926,83.875,1000000,857388.8888888889,838750.0,18638.888888888887
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-08-22,2025-08-26,0.11509325481654373,80.625,1000000,829062.5,806250.0,22812.5
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-08-22,2025-08-26,0.11602552514386177,80.0,1000000,822812.5,800000.0,22812.5
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11489696888750452,83.0,1000000,848489.58,830000.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11526217746354998,82.75,1000000,845989.58,827500.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11562928160508869,82.5,1000000,843489.58,825000.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11599829855788359,82.25,1000000,840989.58,822500.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11599829855788359,82.25,1000000,840989.58,822500.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.1161835297874111,82.125,1000000,839739.58,821250.0,
Buy,EGYPT 8.7002 03/01/49,0.08700200000000001,2049-01-03,2025-08-22,2025-08-26,0.10227266889638173,86.5,250000,219452.15694444443,216250.0,3202.156944444445
